"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Aug-2025","1","456.75","454.90","0.57","-1.620","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","2","394.25","391.79","0.44","-0.890","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","3","203.90","200.98","0.30","-0.290","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","4","203.15","200.72","0.30","-0.770","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","5","186.77","185.91","0.25","-2.290","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","6","166.99","165.38","0.31","-1.600","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","7","154.75","152.60","0.31","-1.060","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","8","150.29","147.67","0.31","-0.600","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","9","154.42","152.58","0.30","-1.360","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","10","168.30","165.10","0.31","-0.020","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","11","203.33","200.58","0.34","-0.490","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","12","203.15","200.58","0.44","-0.770","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","13","203.41","200.60","0.74","-0.840","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","14","203.78","200.71","1.12","-0.950","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","15","202.70","200.78","0.87","-1.850","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","16","292.32","288.03","1.31","-1.860","1.93","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","17","379.18","358.67","1.22","-0.400","16.79","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","18","377.71","357.00","1.76","-0.520","16.57","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","19","230.08","226.74","0.77","-0.330","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","20","204.69","200.78","0.69","0.320","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","21","203.01","200.99","0.53","-1.410","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","22","120.91","118.13","0.42","-0.550","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","23","152.28","150.00","0.45","-1.080","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","24","118.97","115.99","0.39","-0.310","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","25","114.52","111.79","0.42","-0.590","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","26","108.22","106.62","0.37","-1.670","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","27","108.17","106.62","0.29","-1.640","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","28","115.10","113.91","0.28","-1.990","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","29","117.37","116.01","0.24","-1.790","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","30","114.29","113.93","0.13","-2.670","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","31","120.87","121.36","0.17","-3.560","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","32","356.48","358.79","0.92","-6.130","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","33","476.61","475.48","1.79","-3.570","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","34","239.18","236.95","0.64","-1.320","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","35","202.97","200.90","0.96","-1.800","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","36","153.97","152.16","0.33","-1.430","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","37","203.15","200.76","0.70","-1.220","0.00","2.14","0.3711","0.0275","0.3648"
"WEP","01-Aug-2025","38","193.56","190.73","0.85","-0.920","0.00","2.14","0.3711","0.0275","0.3648"
