"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Jan-2025","1","97.24","95.85","0.28","0.160","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","2","92.85","91.73","0.17","0.010","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","3","94.33","93.60","0.15","-0.370","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","4","93.77","93.61","0.16","-0.950","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","5","95.88","95.52","0.16","-0.750","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","6","98.63","97.82","0.14","-0.270","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","7","94.91","93.65","0.14","0.180","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","8","93.23","91.83","0.14","0.320","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","9","87.81","86.72","0.14","0.000","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","10","94.52","93.48","0.16","-0.060","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","11","94.42","93.56","0.17","-0.250","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","12","88.59","87.51","0.18","-0.050","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","13","93.07","92.25","0.23","-0.360","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","14","93.90","92.76","0.53","-0.340","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","15","94.76","93.38","0.74","-0.310","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","16","98.45","97.66","0.25","-0.410","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","17","99.89","98.75","0.20","-0.010","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","18","100.48","98.74","0.55","0.240","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","19","93.90","92.70","0.19","0.060","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","20","83.32","82.32","0.19","-0.130","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","21","79.59","78.56","0.18","-0.100","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","22","78.40","77.24","0.16","0.050","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","23","73.01","71.96","0.15","-0.040","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","24","69.40","69.33","0.15","-1.030","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","25","70.35","70.71","0.17","-1.480","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","26","74.17","74.24","0.17","-1.190","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","27","71.54","71.99","0.17","-1.570","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","28","80.17","80.28","0.16","-1.220","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","29","86.77","86.63","0.16","-0.970","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","30","95.02","94.83","0.16","-0.920","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","31","95.28","94.71","0.19","-0.570","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","32","94.28","93.62","0.19","-0.480","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","33","85.02","84.63","0.17","-0.720","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","34","93.68","93.48","0.20","-0.940","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","35","84.20","84.64","0.17","-1.560","0.00","0.18","0.3686","0.0422","0.3550"
"WEP","01-Jan-2025","36","93.13","93.64","0.18","-1.630","0.00","0.18","0.3686","0.0422","0.3550"
