"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Jul-2025","1","98.46","96.13","0.12","-0.650","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","2","100.60","98.71","0.07","-1.040","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","3","97.58","96.08","0.05","-1.410","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","4","97.64","96.07","0.05","-1.340","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","5","97.28","95.96","0.05","-1.590","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","6","96.89","95.61","0.06","-1.640","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","7","97.27","95.61","0.05","-1.250","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","8","95.66","94.09","0.06","-1.350","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","9","94.35","92.34","0.05","-0.910","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","10","97.60","95.60","0.05","-0.910","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","11","98.88","97.07","0.06","-1.110","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","12","102.61","100.71","0.13","-1.090","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","13","102.57","100.88","0.16","-1.330","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","14","111.94","110.11","0.37","-1.400","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","15","116.67","115.54","0.39","-2.130","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","16","120.46","118.82","0.42","-1.640","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","17","120.63","118.91","0.35","-1.490","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","18","120.41","118.78","0.41","-1.640","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","19","120.36","118.30","0.34","-1.140","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","20","118.00","115.73","0.32","-0.910","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","21","105.02","103.16","0.12","-1.120","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","22","102.40","100.73","0.12","-1.310","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","23","98.49","97.48","0.12","-1.970","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","24","97.33","96.26","0.12","-1.910","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","25","94.22","93.11","0.13","-1.880","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","26","97.21","95.85","0.13","-1.630","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","27","89.85","88.60","0.13","-1.740","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","28","91.35","90.52","0.12","-2.150","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","29","89.21","88.59","0.11","-2.350","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","30","96.12","95.85","0.11","-2.700","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","31","96.74","96.25","0.11","-2.480","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","32","96.56","96.40","0.14","-2.840","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","33","100.41","100.71","0.12","-3.280","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","34","105.34","105.72","0.18","-3.420","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","35","119.63","118.97","0.34","-2.550","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","36","119.93","118.82","0.20","-1.960","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","37","119.45","118.79","0.15","-2.350","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","38","130.46","130.06","0.33","-2.790","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","39","133.45","132.46","0.35","-2.230","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","40","133.74","132.74","0.33","-2.190","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","41","160.31","159.66","0.28","-2.490","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","42","188.51","188.82","0.25","-3.420","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","43","200.84","200.75","0.23","-3.000","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","44","200.98","200.75","0.13","-2.770","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","45","148.34","147.21","0.14","-1.870","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","46","133.00","131.88","0.13","-1.870","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","47","113.83","113.08","0.14","-2.250","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","01-Jul-2025","48","113.98","113.24","0.12","-2.250","0.00","2.10","0.3711","0.0281","0.3631"
"WEP","02-Jul-2025","1","116.13","115.55","0.11","-2.390","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","2","116.52","115.46","0.10","-1.910","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","3","111.42","110.10","0.06","-1.600","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","4","104.59","104.55","0.05","-2.880","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","5","101.09","100.73","0.06","-2.560","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","6","103.40","103.52","0.05","-3.040","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","7","101.58","100.69","0.05","-2.020","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","8","100.83","100.54","0.05","-2.630","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","9","99.01","98.70","0.05","-2.600","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","10","101.32","100.69","0.05","-2.290","0.00","2.10","0.3711","0.0284","0.3668"
"WEP","02-Jul-2025","11","104.50","103.50","0.06","-1.930","0.00","2.10","0.3711","0.0284","0.3668"
