"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Jun-2025","1","126.99","125.17","0.15","-1.050","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","2","119.87","117.62","0.10","-0.580","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","3","118.58","116.58","0.09","-0.820","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","4","103.56","101.81","0.06","-1.040","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","5","103.73","101.81","0.06","-0.870","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","6","102.56","101.12","0.06","-1.340","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","7","102.43","100.83","0.06","-1.190","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","8","102.41","100.81","0.06","-1.180","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","9","102.15","100.78","0.05","-1.410","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","10","102.56","100.81","0.06","-1.040","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","11","103.06","101.16","0.07","-0.890","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","12","110.58","109.14","0.13","-1.420","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","13","116.42","114.86","0.22","-1.390","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","14","118.92","116.90","0.38","-1.090","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","15","120.25","117.84","0.49","-0.800","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","16","128.41","125.95","0.51","-0.770","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","17","118.54","116.51","0.30","-0.990","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","18","116.50","115.01","0.28","-1.520","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","19","116.93","114.95","0.23","-0.970","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","20","98.33","96.20","0.16","-0.760","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","21","98.67","96.20","0.14","-0.390","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","22","98.57","96.21","0.14","-0.500","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","23","94.61","91.81","0.13","-0.050","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","24","87.48","85.46","0.13","-0.830","0.00","1.92","0.3686","0.0313","0.4039"
"WEP","01-Jun-2025","25","80.63","79.24","0.14","-1.470","0.00","1.92","0.3686","0.0313","0.4039"
