"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-May-2025","1","103.09","103.40","0.12","-1.430","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","2","100.44","101.13","0.07","-1.760","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","3","110.74","110.96","0.05","-1.260","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","4","99.63","99.52","0.05","-0.930","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","5","92.68","93.66","0.05","-2.030","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","6","90.93","91.50","0.05","-1.610","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","7","91.60","91.44","0.05","-0.890","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","8","91.55","91.38","0.06","-0.880","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","9","91.28","91.37","0.05","-1.130","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","10","91.66","91.30","0.05","-0.680","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","11","94.41","94.28","0.11","-0.970","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","12","98.01","97.59","0.17","-0.740","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","13","101.00","101.12","0.37","-1.480","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","14","101.54","101.14","0.45","-1.040","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","15","104.36","103.77","0.50","-0.910","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","16","111.93","111.34","0.53","-0.940","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","17","111.98","111.35","0.45","-0.820","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","18","102.82","102.23","0.46","-0.860","0.00","0.19","0.3686","0.0313","0.4039"
"WEP","01-May-2025","19","101.47","101.32","0.24","-1.080","0.00","0.19","0.3686","0.0313","0.4039"
