"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Nov-2025","1","111.91","109.82","0.11","-1.070","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","2","109.00","106.80","0.06","-0.900","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","3","111.95","109.81","0.05","-0.960","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","4","105.87","103.31","0.05","-0.540","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","5","103.06","100.62","0.05","-0.650","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","6","102.76","100.56","0.05","-0.890","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","7","100.22","97.92","0.05","-0.790","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","8","100.09","97.91","0.05","-0.920","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","9","100.20","97.91","0.05","-0.810","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","10","100.97","98.70","0.05","-0.830","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","11","102.98","100.52","0.06","-0.650","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","12","103.29","100.72","0.13","-0.610","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","13","103.61","101.27","0.16","-0.870","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","14","103.97","101.79","0.18","-1.050","0.00","2.25","0.3711","0.0299","0.3956"
"WEP","01-Nov-2025","15","113.76","111.56","0.22","-1.060","0.00","2.25","0.3711","0.0299","0.3956"
