"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Oct-2025","1","94.04","93.36","0.12","-2.480","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","2","94.15","93.29","0.07","-2.250","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","3","94.62","93.45","0.05","-1.930","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","4","94.46","93.20","0.05","-1.830","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","5","94.70","93.29","0.05","-1.680","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","6","94.91","93.17","0.05","-1.350","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","7","94.71","93.06","0.05","-1.440","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","8","94.61","93.05","0.05","-1.530","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","9","95.01","93.15","0.05","-1.230","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","10","95.17","93.25","0.05","-1.170","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","11","104.77","102.86","0.06","-1.190","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","12","118.09","116.63","0.13","-1.710","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","13","139.09","137.72","0.33","-2.010","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","14","141.77","140.44","0.46","-2.170","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","15","145.63","144.09","0.59","-2.100","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","16","140.58","138.68","0.51","-1.650","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","17","142.59","140.98","0.69","-2.120","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","18","114.90","112.69","0.47","-1.300","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","19","108.92","106.88","0.35","-1.350","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","20","97.04","94.58","0.31","-0.890","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","21","95.12","93.24","0.15","-1.310","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","22","87.29","85.98","0.13","-1.860","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","23","86.41","85.90","0.12","-2.650","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","24","87.24","85.99","0.12","-1.910","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","25","90.94","89.54","0.14","-1.780","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","26","92.08","89.54","0.15","-0.650","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","27","87.95","85.95","0.13","-1.170","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","28","83.00","82.37","0.13","-2.540","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","29","90.51","89.35","0.12","-2.000","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","30","90.65","89.55","0.11","-2.050","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","31","101.25","98.79","0.14","-0.720","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","32","95.55","93.36","0.15","-1.000","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","33","93.84","93.25","0.13","-2.580","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","34","93.11","93.51","0.13","-3.570","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","35","111.80","112.02","0.55","-3.810","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","36","122.01","122.07","0.41","-3.510","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","37","160.32","160.14","0.72","-3.580","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","38","174.39","172.94","0.90","-2.490","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","39","163.00","161.02","0.85","-1.910","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","40","160.13","157.89","0.74","-1.540","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","41","174.97","172.98","0.62","-1.670","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","42","131.85","130.09","0.31","-1.590","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","43","139.23","137.65","0.31","-1.770","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","44","110.18","108.02","0.17","-1.050","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","45","110.35","107.76","0.17","-0.620","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","46","100.28","97.88","0.14","-0.780","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","47","98.29","95.54","0.15","-0.440","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","01-Oct-2025","48","96.59","93.41","0.13","0.000","0.00","2.26","0.3711","0.0288","0.3819"
"WEP","02-Oct-2025","1","90.14","87.14","0.12","-0.170","0.00","2.26","0.3711","0.0294","0.3896"
"WEP","02-Oct-2025","2","96.23","93.32","0.07","-0.210","0.00","2.26","0.3711","0.0294","0.3896"
"WEP","02-Oct-2025","3","96.38","94.06","0.05","-0.780","0.00","2.26","0.3711","0.0294","0.3896"
"WEP","02-Oct-2025","4","95.51","93.29","0.05","-0.880","0.00","2.26","0.3711","0.0294","0.3896"
"WEP","02-Oct-2025","5","95.15","93.08","0.05","-1.030","0.00","2.26","0.3711","0.0294","0.3896"
"WEP","02-Oct-2025","6","94.60","92.79","0.06","-1.300","0.00","2.26","0.3711","0.0294","0.3896"
"WEP","02-Oct-2025","7","94.69","92.60","0.06","-1.020","0.00","2.26","0.3711","0.0294","0.3896"
