"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Sep-2025","1","82.79","80.19","0.12","-0.400","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","2","84.33","81.23","0.07","0.150","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","3","81.43","78.70","0.05","-0.210","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","4","78.95","76.18","0.05","-0.160","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","5","77.92","75.56","0.05","-0.580","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","6","76.84","74.07","0.05","-0.160","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","7","75.90","73.33","0.05","-0.360","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","8","75.93","72.99","0.06","0.000","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","9","75.64","73.00","0.05","-0.300","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","10","76.92","74.05","0.05","-0.060","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","11","77.02","74.07","0.06","0.000","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","12","87.37","84.51","0.13","-0.160","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","13","92.86","90.26","0.19","-0.480","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","14","109.34","106.73","0.36","-0.640","0.00","2.08","0.3711","0.0305","0.4039"
"WEP","01-Sep-2025","15","112.85","110.88","0.40","-1.320","0.00","2.08","0.3711","0.0305","0.4039"
