alpha,beta,total_energy_kWh,total_cost,total_emissions,avg_emission_per_kwh,status
0.0,0.0,76.45,17.1017,10.51,0.1374,Optimal
0.0,0.25,76.45,7.2252,6.71,0.0878,Optimal
0.0,0.5,76.45,7.2252,6.71,0.0878,Optimal
0.0,0.75,76.45,7.2252,6.71,0.0878,Optimal
0.0,1.0,76.45,7.2252,6.71,0.0878,Optimal
0.25,0.0,76.45,1.357,8.23,0.1076,Optimal
0.25,0.25,76.45,2.8107,6.94,0.0908,Optimal
0.25,0.5,76.45,2.8981,6.92,0.0906,Optimal
0.25,0.75,76.45,4.255,6.77,0.0885,Optimal
0.25,1.0,76.45,4.3082,6.76,0.0885,Optimal
0.5,0.0,76.45,1.357,8.23,0.1076,Optimal
0.5,0.25,76.45,1.7801,7.32,0.0957,Optimal
0.5,0.5,76.45,2.8107,6.94,0.0908,Optimal
0.5,0.75,76.45,2.8219,6.94,0.0907,Optimal
0.5,1.0,76.45,2.8981,6.92,0.0906,Optimal
0.75,0.0,76.45,1.357,8.23,0.1076,Optimal
0.75,0.25,76.45,1.7384,7.35,0.0961,Optimal
0.75,0.5,76.45,1.9153,7.25,0.0948,Optimal
0.75,0.75,76.45,2.8107,6.94,0.0908,Optimal
0.75,1.0,76.45,2.8219,6.94,0.0907,Optimal
1.0,0.0,76.45,1.357,8.23,0.1076,Optimal
1.0,0.25,76.45,1.6934,7.39,0.0966,Optimal
1.0,0.5,76.45,1.7801,7.32,0.0957,Optimal
1.0,0.75,76.45,2.1771,7.15,0.0935,Optimal
1.0,1.0,76.45,2.8107,6.94,0.0908,Optimal
