"INFORMATION TYPE","DATE","PERIOD","WEP ($/MWh)","USEP ($/MWh)","AFP ($/MWh)","HEUR ($/MWh)","HLCU ($/MWh)","MEUC ($/MWh)","EMC Price Cap Fees ($/MWh)","EMC Price Adj Fees ($/MWh)","PSO Fees ($/MWh)"
"WEP","01-Apr-2025","1","100.58","99.85","0.19","-0.440","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","2","99.88","99.19","0.13","-0.410","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","3","98.71","98.02","0.10","-0.390","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","4","98.74","98.03","0.10","-0.360","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","5","98.15","97.94","0.11","-0.880","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","6","96.21","95.63","0.09","-0.480","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","7","94.98","93.85","0.08","0.080","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","8","94.86","93.85","0.08","-0.050","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","9","94.46","94.02","0.08","-0.620","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","10","99.39","98.27","0.09","0.060","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","11","100.13","99.18","0.12","-0.140","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","12","104.90","104.26","0.14","-0.480","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","13","104.95","104.86","0.27","-1.150","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","14","104.02","104.94","0.20","-2.090","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","15","104.69","105.83","0.32","-2.440","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","16","110.69","111.78","0.39","-2.460","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","17","115.63","116.86","0.40","-2.600","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","18","119.27","119.89","0.45","-2.050","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","19","119.31","119.44","0.37","-1.470","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","20","114.64","114.78","0.31","-1.420","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","21","109.20","109.05","0.19","-1.010","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","22","100.69","101.68","0.13","-2.090","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","23","99.77","100.50","0.13","-1.830","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","24","99.91","100.57","0.13","-1.760","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","25","93.34","94.09","0.14","-1.860","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","26","99.26","100.57","0.16","-2.440","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","27","100.08","101.32","0.14","-2.350","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","28","99.50","101.26","0.13","-2.870","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","29","99.75","101.27","0.13","-2.630","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","30","100.77","101.63","0.12","-1.960","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","31","100.43","101.68","0.12","-2.340","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","32","103.54","105.37","0.14","-2.940","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","33","109.06","111.88","0.17","-3.960","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","34","111.19","114.21","0.25","-4.240","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","35","128.89","130.11","0.65","-2.840","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","36","128.55","129.76","0.39","-2.570","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","37","128.56","130.09","0.39","-2.900","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","38","128.72","130.08","0.59","-2.920","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","39","135.47","136.31","0.63","-2.440","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","40","130.22","132.28","0.56","-3.590","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","41","129.90","132.29","0.35","-3.710","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","42","127.40","129.97","0.32","-3.870","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","43","124.39","125.98","0.32","-2.880","0.00","0.20","0.3686","0.0000","0.4058"
"WEP","01-Apr-2025","44","125.81","127.45","0.39","-3.010","0.00","0.20","0.3686","0.0000","0.4058"
