EV,Arrival Time,Departure Time,Arrival Energy,Desired Energy,X,Y
1,2,23.5,11,50,9,2
2,2,14,13.5,50,4,6
3,3.5,23,23,50,1,2
4,4.5,17.5,18.75,50,2,6
5,4.5,22.5,17.75,50,6,10
6,7,14.5,18.25,50,7,5
7,7.5,23,11,50,6,4
8,8,22.5,11,50,5,3
9,8.5,19.5,11,50,5,8
10,9.5,15.5,11,50,6,5
11,9.5,16,11,50,9,5
12,9.5,23.5,23.75,50,9,10
13,10.5,17,11,50,6,7
14,11,14.5,12.75,50,6,6
15,11,22.5,20,50,2,8
16,11.5,14.5,11,50,3,2
17,11.5,16,15.75,50,6,2
18,12.5,20,13,50,3,5
19,13.5,19,22.5,50,1,10
20,15,20,13.75,50,4,10
21,15.5,20,20.5,50,3,9
22,16,24,23.5,50,8,6
23,16.5,21,11,50,4,1
24,17,19.5,11.5,50,10,6
25,17,23,15.5,50,1,4
26,18,22,12,50,5,6
27,20,24,24,50,5,5
28,21.5,23,11,50,7,4
29,22,24,15.5,50,4,7
30,23,24,13,50,10,2
