EV,Arrival Time,Departure Time,Arrival Energy,Desired Energy,X,Y
1,2,7,11,40,9,2
2,2,8,13.5,40,4,6
3,2.5,7.5,23,40,1,2
4,4.5,12,5.5,40,2,6
5,4.5,10,3.5,40,6,10
6,2,10.5,9,40,7,5
7,7.5,16,11,40,6,4
8,8,15,9.5,40,5,3
9,8.5,19.5,28,40,5,8
10,9.5,15.5,24.5,40,6,5
11,15,19.5,23.5,40,9,5
12,9.5,19,23.75,40,9,10
13,10.5,14,32,40,6,7
14,11,14.5,24.75,40,6,6
15,11,22.5,27.4,40,2,8
16,11.5,14.5,11,40,3,2
17,11.5,16,15.75,40,6,2
18,12.5,20,30,40,3,5
19,13.5,19,22.5,40,1,10
20,15,20,26.5,40,4,10
21,15.5,20,20.5,40,3,9
22,16,24,13.5,40,8,6
23,16.5,21,11,40,4,1
24,17,20.5,19,40,10,6
25,17,23,15.5,40,1,4
26,18,22,12,40,5,6
27,19,24,24,40,5,5
28,19,23,11,40,7,4
29,20,24,18,40,4,7
30,21,24,21.5,40,10,2
